Record Identifier,Measurement Date,Month,Year,First PIP,PIP Table #,Eff. Chart Material Class,Eff. Chart Cell Type,Detailed description,Group(s),Efficiency (%),Revised/New Efficiency (%),Combined efficiency (%),Uncertainty (%),Area (cm2),Type of Area,VOC (V),Jsc (mA/cm2),Revised/ New Jsc (mA/cm2) (PIP #33 ->),FF (%),  Suns,Accredited Testing Centers,REV. EFF. Check 22,Notes
493,2020-05-01,5,2020,56,3,Hybrid Tandems,III-V/Si ,"GaAsP/Si, monolithic, 2-term",OSU/UNSW/SolAero,,23.4,23.4,0.3,1.026,p,1.732,,17.34,0.777,1.0,NREL,0.9972456307692309,
495,2020-08-24,8,2020,,,Emerging PV,Organic cells,Organic (cell),City U HK/UW,,17.5,17.5,0.5,0.04,ap,0.881,,26.07,0.76,1.0,Newport,0.9974530971428572,
496,2020-09-01,9,2020,55,1,Crystalline Si Cells,Multicrystalline,"DS Si wafer cell, n type",Trina Solar,,23.2,23.2,0.3,247.79,t,0.712,,41.14,0.793,1.0,FhG-ISE,1.0012199241379311,
497,2020-09-22,9,2020,,,Emerging PV,Quantum dot cells,Perovskite based on the BHT Additive,UNIST,,18.1,18.1,0.5,0.12,ap,1.14,,20.88,0.758,1.0,Newport,0.9968411933701655,
498,2020-10-20,10,2020,57,2,Emerging PV,Organic cells,Organic (cell),SJTU/BUAA,,18.2,18.2,0.2,0.032,ap,0.897,,25.72,0.789,1.0,NREL,1.000158942857143,
499,2020-11-01,11,2020,57,1,Crystalline Si Cells,Multicrystalline,"‘cast mono’ wafer, n-type",Jinko solar,,24.4,24.4,0.3,267.5,t,0.713,,41.47,0.825,1.0,FhG-ISE,0.9997414241803279,
500,2020-11-02,11,2020,TBD (58), ,Emerging PV,Dye-sensitized cells,Dye sensitized,EPFL,,13,13.0,,0.116,ap,1.04,,15.55,0.804,1.0,FhG-ISE,1.0001760000000002,
501,2020-12-14,12,2020,TBD (58),,Hybrid Tandems,Perovskite/Si,2-terminal monolithic,Oxford PV,,29.5,29.5,0.5,1.121,ap,1.884,,20.26,0.773,1.0,NREL,1.0001791972881355,
502,2021-06-10,6,2021,58,1,Emerging PV,CZTSSe cells,CZTSSe Thin-Film  (hydrazine pure-solution approach),NJUPT,,13,13.0,0.8,0.107,ap,0.529,,33.58,72.9,1.0,NREL,99.61403676923078,
503,2021-09-23,9,2021,59,3,III-V Multijunction Cells,Three-junction or more (non-concentrator),GaInP/mqw-GaAs/GaInAs,NREL,,39.46,39.46,0.5,0.242,ap,2.997,,15.437,85.3,1.0,NREL,100.00957860364926,
504,2021-11-16,11,2021,,,Hybrid Tandems,Perovskite/Si,"Perovskite/Si, monolithic",HZB,,29.8,29.8,0.82,1.016,ap,,,,,1.0,FhG-ISE,0.0,
505,2021-12-03,12,2021,60,,Emerging PV,Perovskite cells,Perovskite (cell),UNIST,,25.7,25.7,3.2,0.096,ap,1.179,,25.8,84.6,1.0,Newport,100.13150661478599,
506,2022-01-11,1,2022,TBD (60),,Single-Junction GaAs,Concentrator,GaAs,NREL,,30.8,30.8,6.2,0.099,ap,,,,,61.0,NREL,0.0,
507,2022-06-17,6,2022,TBD (61),,Hybrid Tandems,Perovskite/Si,"Perovskite/Si, monolithic, 2-term",EPFL/CSEM,,31.3,31.3,0.8,1.1677,ap,1.9131,,20.473,79.8,1.0,NREL,99.85681548690094,
508,2022-05-01,5,2022,61,5,III-V Multijunction Cells,Concentrator,GaInP/GaInAs; GaInAsP/GaInAs bonded,FhG-ISE,,47.6,47.6,2.6,0.0452,da,,,,,665.0,FhG-ISE,0.0,
509,2022-11-23,11,2022,TBD (62),,Hybrid Tandems,Perovskite/Si,"Perovskite/Si, monolithic, 2-term",HZB,,32.5,32.5,1.0,1.014,da,1.9798,,20.24,81.2,1.0,JRC-ESTI,100.11623207384616,
510,2022-10-01,10,2022,61,1,Crystalline Si Cells,Silicon heterostructures (HIT),n-type HJT,LONGi,,26.81,26.81,1.5,274.4,t,0.7514,41.45,,86.07,1.0,ISFH,0.0,
511,2023-01-05,1,2023,,,Thin-Film Technologies,CIGS,,Evolar/UU,,23.6,23.6,,0.899,da,0.7671,38.3,,80.46,1.0,FhG-ISE,,
512,2023-03-21,3,2023,62,,Emerging PV,Organic cells,,SJTU,,19.2,19.2,1.5,0.0326,da,0.9135,26.61,,79,1.0,NREL,,
