Record Identifier,Measurement Date,Month,Year,First PIP,PIP Table #,Eff. Chart Material Class,Eff. Chart Cell Type,Detailed description,Group(s),Efficiency (%),Revised/New Efficiency (%),Combined efficiency (%),Uncertainty (%),Area (cm2),Type of Area,VOC (V),Jsc (mA/cm2),Revised/ New Jsc (mA/cm2) (PIP #33 ->),FF (%),  Suns,Accredited Testing Centers,REV. EFF. Check 22,Notes
137,1996-03-01,3,1996,8,4,Thin-Film Technologies,CIGS,on glass,NREL,17.7,,17.877,0.5,0.413,t,0.674,34.0,,0.772,1.0,NREL,,
138,1996-04-01,4,1996,8,1,III-V Multijunction Cells,Two-junction (non-concentrator),"GaInP/GaAs, monolithic",Japan Energy,30.3,,30.3,,4,t,2.488,14.22,,0.856,1.0,JQA,,
139,1996-05-01,5,1996,8,1,Crystalline Si Cells,Single crystal (non-concentrator),PERL,UNSW,23.400000000000002,,23.634000000000004,,22.1,da,0.702,41.6,,0.803,1.0,Sandia,,
140,1996-08-01,8,1996,9,1,Crystalline Si Cells,Single crystal (non-concentrator),PERL,UNSW,23.7,23.9,23.9,0.5,22.1,da,0.704,41.5,41.9,0.81,1.0,Sandia,0.9997094560669457,
141,1996-09-01,9,1996,,,Thin-Film Technologies,Amorphous Si:H (stabilized),a-Si:H/a-Si:H/a-SiGe (stabilized),United Solar,,,12.04,,0.26,,2.297,7.52,,0.697,,,,
142,1996-10-01,10,1996,,,Thin-Film Technologies,(not on chart),a-Si:H/a-Si:H/a-SiGe (stabilized) 13.4% initial efficiency,United Solar,12.04,,12.04,,0.27,,2.297,7.52,,0.697,1.0,NREL,,
143,1996-10-01,10,1996,9,1,Thin-Film Technologies,(not on chart),a-Si/a-Si/a-SiGe,USSC,13.5,,13.5,0.7000000000000001,0.27,da,2.375,7.72,,0.744,1.0,NREL,,
144,1996-10-01,10,1996,9,4,Crystalline Si Cells,Single crystal (non-concentrator),Cz substrate,Fraunhofer ISE,21.7,,21.916999999999998,,4,ap,0.689,40.5,,0.776,1.0,FhG-ISE,,
145,1996-12-01,12,1996,10,4,Crystalline Si Cells,Single crystal (non-concentrator),Cz substrate,Fraunhofer ISE,22.0,,22.22,0.4,4,da,0.681,41.8,,0.772,1.0,FhG-ISE,,
146,1996-12-01,12,1996,10,4,Emerging PV,Dye-sensitized cells,photoelectrochemical nanocrystalline dye,EPFL,11.0,,11.1,0.5,0.25,ap,0.795,19.4,,0.71,1.0,FhG-ISE,,
147,1997-01-01,1,1997,,,Thin-Film Technologies,(not on chart),a-Si:H/a-Si:H/a-SiGe (stabilized),United Solar,12.1,,12.1,,0.27,,2.297,7.563,,0.697,1.0,NREL,,
148,1997-01-01,1,1997,11,1,Emerging PV,Dye-sensitized cells,Nanocrystalline dye,INAP,6.5,,6.6,0.3,1.6,ap,0.769,13.4,,0.63,1.0,FhG-ISE,,
149,1997-02-01,2,1997,10,1,Crystalline Si Cells,Thin-film crystal,3.5 µm on glass,Kaneka,9.4,,9.494,0.2,1,ap,0.48,26.1,,0.748,1.0,JQA,,
150,1997-02-01,2,1997,10,1,Crystalline Si Cells,Thin-film crystal,77-µm thick,Mitsubishi,16.0,,16.16,0.2,95.8,ap,0.589,35.6,,0.763,1.0,JQA,,
151,1997-03-01,3,1997,11,4,Crystalline Si Cells,Multicrystalline,Eurosolare wafer,Fraunhofer ISE,17.4,,17.573999999999998,0.4,21.2,t,0.637,34.4,,0.792,1.0,FhG-ISE,,
152,1997-03-01,3,1997,10,1,Crystalline Si Cells,Thin-film crystal,Si supported film,AstroPower,16.6,,16.766000000000002,0.5,0.98,ap,0.608,33.5,,0.815,1.0,NREL,,
153,1997-03-01,3,1997,10,1,Thin-Film Technologies,CdTe,3.5 µm CSS,Matsushita,16.0,,16.32,0.2,1,ap,0.84,26.1,,0.731,1.0,JQA,,
154,1997-04-01,4,1997,10,4,Crystalline Si Cells,Thin-film crystal,"CVD-SOI (Si on oxide); 46-µm thick, front contacted",Fraunhofer ISE,19.2,,19.392,0.4,4,ap,0.668,37.1,,0.775,1.0,FhG-ISE,,
155,1997-04-01,4,1997,,,Thin-Film Technologies,CdTe,3.5 µm CdTe CSS [JQA],Matsushita,16.0,,16.32,,1,,0.84,26.1,,0.731,1.0,,,
156,1997-05-01,5,1997,10,1,Crystalline Si Cells,Thin-film crystal,30 µm on SiC-graphite,ASE/ISE,11.0,,11.11,0.3,1.03,ap,0.57,25.6,,0.755,1.0,FhG-ISE,,
157,1997-12-01,12,1997,12,4,Crystalline Si Cells,Thin-film crystal,2-µm on glass,Kaneka,10.100000000000001,,10.201000000000002,0.2,1.199,ap,0.539,24.4,,0.768,1.0,JQA,,
158,1998-02-01,2,1998,12,1,Crystalline Si Cells,Single crystal (non-concentrator),PERL,UNSW,24.4,,24.644,0.5,4,da,0.696,42.0,,0.836,1.0,Sandia,,
159,1998-02-01,2,1998,12,1,Crystalline Si Cells,Multicrystalline,,UNSW/Eurosolare,19.8,,19.998,0.5,1.09,ap,0.654,38.1,,0.795,1.0,Sandia,,
160,1998-11-01,11,1998,13,1,Crystalline Si Cells,Single crystal (non-concentrator),PERL,UNSW,24.5,,24.745,0.5,4,da,0.703,42.1,,0.825,1.0,Sandia,,
161,1998-12-01,12,1998,14,4,Thin-Film Technologies,CIGS,on glass,NREL,18.8,,18.988,0.5,0.449,t,0.678,35.2,,0.787,1.0,NREL,,
162,1998-12-28,12,1998,,,Thin-Film Technologies,CIGS,"ZnO/CdS/Cu(In,Ga)Se2 ;  ASTM E 892-87 spectrum",NREL,,18.8,18.8,,0.4387,,0.6782,,37.07,0.7889,1.0,,1.0549806116276594,
163,1999-02-01,2,1999,17,4,Crystalline Si Cells,Thin-film crystal,28-8µm thick,"Univ. Stuttgart, IPE",14.000000000000002,,14.140000000000002,0.4,3.94,ap,0.634,27.3,,0.805,1.0,FhG-ISE,,
164,1999-02-01,2,1999,14,1,Thin-Film Technologies,CIGS,on glass,NREL,18.2,,18.381999999999998,0.5,1.129,t,0.667,36.5,,0.749,1.0,NREL,,
165,1999-03-01,3,1999,14,1,Crystalline Si Cells,Single crystal (non-concentrator),Si PERL top/rear contacts,UNSW,24.7,25,25.0,0.5,4,da,0.706,42.2,42.7,0.828,1.0,Sandia,0.998442144,
166,1999-05-19,5,1999,,,Thin-Film Technologies,CdTe,W344-A,NREL,15.8,,16.116,,0.6471,,0.8443,25.0,,0.7482,1.0,,,
167,1999-07-01,7,1999,17,4,Crystalline Si Cells,Single crystal (non-concentrator),Magnetically confined CZ PERT SEH technique,UNSW,24.5,,24.745,0.5,4,da,0.704,41.6,42,0.835,1.0,Sandia,,
168,1999-07-01,7,1999,17,4,Crystalline Si Cells,Single crystal (non-concentrator),Ga-doped CZ using SEH  technique,Fraunhofer ISE,22.5,,22.725,0.5,4.011,ap,0.69,41.1,,0.793,1.0,FhG-ISE,,
169,1999-07-01,7,1999,,,Thin-Film Technologies,CIGS,CIGS/Glass [FhG-ISE],NREL,,18.9,18.9,,0.4049,,0.696,,34.8,0.78,1.0,,0.9995885714285715,
170,1999-09-01,9,1999,15,1,III-V Multijunction Cells,Three-junction or more (non-concentrator),"GaInP/GaAs/Ge, monolithic",Spectrolab,28.7,,28.7,1.4000000000000001,29.93,t,2.571,12.95,,0.862,1.0,NREL,,
171,1999-09-01,9,1999,15,3,III-V Multijunction Cells,Concentrator,GaInP/GaAs/Ge,Spectrolab,32.300000000000004,,32.300000000000004,2.0,0.104,da,,,,,47.0,NREL,,
172,1999-11-01,11,1999,,,Thin-Film Technologies,Amorphous Si:H (stabilized),a-Si:H/a-Si:H/a-SiGe (stabilized),United Solar,,,12.15,,0.26,,2.294,7.59,,0.698,,,,
173,1999-12-01,12,1999,,,Thin-Film Technologies,(not on chart),a-Si:H/a-Si:H/a-SiGe (stabilized) 13.5% initial efficiency,United Solar,12.15,,12.15,,0.26,,2.294,7.59,,0.698,1.0,NREL,,
174,2000-06-01,6,2000,17,3,III-V Multijunction Cells,Concentrator,"GaInP/GaAs/Ge, monolithic",Spectrolab,32.4,,32.4,2.0,0.1025,da,,,,,414.0,NREL,,
175,2000-08-01,8,2000,17,4,Crystalline Si Cells,Silicon heterostructures (HIT),HIT n-type CZ substrate,Sanyo,20.7,,20.907,0.3,100.5,t,0.719,36.7,,0.786,1.0,JQA,,
176,2000-09-01,9,2000,18,4,III-V Multijunction Cells,Concentrator,"GaInP/GaAs/Ge, monolithic",Spectrolab,30.599999999999998,,30.599999999999998,1.5,1.05,da,,,,,234.0,NREL,,
177,2000-10-01,10,2000,18,3,III-V Multijunction Cells,Three-junction or more (non-concentrator),"GaInP/GaAs/Ge, tandem, monolithic",Spectrolab,31.0,,31.0,1.5,0.2496,t,2.548,14.11,,0.862,1.0,NREL,,
178,2000-11-25,11,2000,,,Thin-Film Technologies,CIGS,"ZnO/CdS/Cu(In,Ga)Se2 ;  Original ASTM E 892-87 spectrum",NREL,,19.2,19.2,,0.408,,0.6885,,35.712,0.7812,1.0,,1.0004125320000001,
179,2001-01-01,1,2001,18,3,Crystalline Si Cells,Thin-film crystal,24-µm thick,U. Stuttgart,15.299999999999999,,15.453,0.4,1.015,ap,0.634,30.6,,0.803,1.0,FhG-ISE,,
180,2001-02-01,2,2001,18,1,Thin-Film Technologies,CdTe,on glass,NREL,16.400000000000002,,16.728,0.5,1.131,ap,0.848,25.9,,0.745,1.0,NREL,,
181,2001-02-01,2,2001,18,4,Thin-Film Technologies,CIGS (concentrator),,NREL,21.5,21.8,21.8,1.5,0.102,da,,,,,14.0,NREL,,
182,2001-02-01,2,2001,18,1,Thin-Film Technologies,CIGS,on glass,NREL,18.4,,18.584,0.5,1.04,t,0.669,35.7,,0.77,1.0,NREL,,Confirmed (mh)
183,2001-02-01,2,2001,18,4,Thin-Film Technologies,CIGS (concentrator),"thin  film, ZnO/CdS/CIGS",NREL,21.5,,21.715,1.5,1.02,da,,,,,14.05,NREL,,"1 sun intensity = 17.8% eff, V = 646-736 mV, FF= 75.7-80.5%"
184,2001-03-01,3,2001,20,3,Crystalline Si Cells,Silicon heterostructures (HIT),HIT n-type CZ substrate,Sanyo,21.0,,21.21,0.3,100,t,0.714,37.6,,0.781,1.0,JQA,,
185,2001-03-01,3,2001,,,Emerging PV,Organic cells,Organic,Linz,2.8,,2.8,,,,,,,,,FhG-ISE,,
186,2001-06-01,6,2001,19,4,III-V Multijunction Cells,Concentrator,"GaInP/GaInAs/GaSb, mech. stack, 4-terminal",Fraunhofer ISE,33.5,,33.5,1.7000000000000002,0.1326,da,,,,,308.0,FhG-ISE,,Not measured at an external laboratory
187,2001-06-01,6,2001,19,4,III-V Multijunction Cells,Concentrator,"GaInP/GaInAs,monolithic, 2-terminal",Fraunhofer ISE,30.2,,30.2,1.2,0.1326,da,,,,,300.0,NREL/FhG-ISE,,
188,2001-07-01,7,2001,19,1,Crystalline Si Cells,Thin-film crystal,45-µm thick,U. Stuttgart,16.6,16.7,16.7,0.4,4.017,ap,0.645,32.8,33,0.782,1.0,FhG-ISE,0.9966988023952097,
189,2001-07-01,7,2001,20,1,Emerging PV,Dye-sensitized cells,Nanocrystalline dye,ECN,8.200000000000001,,8.3,0.3,2.36,ap,0.726,15.8,,0.712,1.0,FhG-ISE,,
190,2001-07-01,7,2001,19,3,Thin-Film Technologies,CIGS,on glass,NREL,18.9,,19.089,0.6,0.4049,ap,0.696,34.8,,0.78,1.0,FhG-ISE,,"Not confirmed: Eff=18.4 (Pip 19), EFF=18.4 (Pip 18) (mh)"
191,2001-09-01,9,2001,19,1,Thin-Film Technologies,CdTe,mesa on glass,NREL,16.5,16.7,16.7,0.5,1.032,ap,0.845,25.876,26.1,0.755,1.0,NREL,0.9970747005988024,
192,2002-02-01,2,2002,20,3,Crystalline Si Cells,Multicrystalline,Photowatt safer (mechanically textured),"University of Konstan, BP Solar",17.5,,17.675,0.5,143.6,t,0.628,36.3,,0.768,1.0,FhG-ISE,,
193,2002-09-01,9,2002,23,3,Crystalline Si Cells,Single crystal (non-concentrator),Laser grooved,BP Solar,18.3,,18.483,0.5,147.5,t,0.625,36.3,,0.806,1.0,FhG-ISE,,
194,2002-11-03,11,2002,,,Thin-Film Technologies,CIGS,"ZnO/CdS/Cu(In,Ga)Se2 ;  Original ASTM E 892-87 spectrum",NREL,,19.3,19.3,,0.406,,0.668,,36.2,0.796,1.0,,0.9973343834196893,
195,2003-01-01,1,2003,22,1,III-V Multijunction Cells,Three-junction or more (non-concentrator),"GaInP/GaAs/Ge, monolithic",Spectrolab,32.0,,32.0,1.5,3.989,t,2.622,14.37,,0.85,1.0,NREL,,
196,2003-01-01,1,2003,22,3,III-V Multijunction Cells,Three-junction or more (non-concentrator),"GaInP/GaInAs/Ge, tandem, monolithic, metamorphic",Spectrolab,31.3,,31.3,1.5,4,t,2.392,16.0,,0.819,1.0,NREL,,
197,2003-02-01,2,2003,22,4,III-V Multijunction Cells,Concentrator,GaInP/GaAs/Ge,Spectrolab,,35.199999999999996,35.199999999999996,1.5,0.266,da,,,,,66.3,NREL,,Low aerosol optical depth direct beam AM1.5
198,2003-04-01,4,2003,,,Emerging PV,Organic cells,Organic,Linz,3.1,,3.1,,,,,,,,,FhG-ISE,,
199,2003-04-01,4,2003,26,1,Thin-Film Technologies,Amorphous Si:H (stabilized),"stabilized, explaining the drop",University of Neuchatel,9.5,,9.5,0.3,1.07,ap,0.859,17.5,,0.63,1.0,NREL,,
200,2003-06-01,6,2003,23,4,III-V Multijunction Cells,Concentrator,"GaInP/GaAs/Ge, monolithic; 2-terminal",Spectrolab,,36.9,36.9,1.7999999999999998,0.2665,da,,,,,309.0,NREL,,Same cell as one 34.7% GaInP/GaAs/Ge cell
201,2003-07-01,7,2003,22,3,Crystalline Si Cells,Multicrystalline,Photowatt wafer (mechanically textured),"University of Konstan, BP Solar",17.599999999999998,,17.775999999999996,0.5,144,t,0.632,35.9,,0.777,1.0,FhG-ISE,,
202,2003-07-01,7,2003,23,3,Thin-Film Technologies,CIGS,on glass,NREL,19.2,,19.392,0.6,0.408,ap,0.689,35.7,,0.781,1.0,NREL,,
203,2003-09-01,9,2003,23,3,Crystalline Si Cells,Single crystal (non-concentrator),Floatzone commercial,SunPower,21.5,,21.715,0.6,148.9,t,0.678,39.5,,0.803,1.0,NREL,,
204,2003-09-01,9,2003,23,4,III-V Multijunction Cells,Concentrator,"GaInP/GaAs/Ge, monolithic; 2-terminal; direct spectrum",Spectrolab,34.699999999999996,,34.699999999999996,1.7000000000000002,0.2665,da,,,,,333.0,NREL,,Same cell as one 36.9% GaInP/GaAs/Ge cell
205,2003-11-01,11,2003,,,Emerging PV,Organic cells,Organic,Groningen,,4,4.0,,,,,,,,,,,
206,2004-01-01,1,2004,,,Emerging PV,Organic cells,Organic,Siemens,4.65,,4.65,,0.05,,0.84,9.0,,0.618,,FhG-ISE,,
207,2004-03-01,3,2004,24,4,III-V Multijunction Cells,Concentrator,"GaInP/GaAs/Ge, monolithic; 2-terminal",Spectrolab,,37.3,37.3,1.9,0.2639,da,,,,,175.0,NREL,,Low-aerosol optical depth direct-beam AM1.5 spectrum
208,2004-05-01,5,2004,24,1,Crystalline Si Cells,Multicrystalline,,Fraunhofer ISE,20.3,20.4,20.4,0.5,1.002,ap,0.664,37.7,38,0.809,1.0,NREL,1.0006219607843139,
209,2004-08-18,8,2004,,,Thin-Film Technologies,CIGS,"ZnO/CdS/Cu(In,Ga)Se2 ;  ASTM E 892-87 spectrum: Published Prog.Photovolt.: 13, 209 (2005) (Also measured at ISE with same efficiency--date is 9/04 there)",NREL,,19.5,19.5,,0.41,,0.693,,35.34,0.794,1.0,,0.9972078092307692,
210,2004-09-01,9,2004,25,3,Thin-Film Technologies,CIGS,on glass,NREL,19.5,,19.695,0.6,0.41,ap,0.693,35.7,,0.794,1.0,FhG-ISE,,
211,2004-12-01,12,2004,26,3,Crystalline Si Cells,Silicon heterostructures (HIT),HIT n-type CZ substrate,Sanyo,21.5,,21.715,0.3,100.3,t,0.712,38.3,,0.787,1.0,AIST,,
212,2005-04-01,4,2005,26,4,III-V Multijunction Cells,Concentrator,"GaInP/GaAs/GaInAs, monolithic; 2-terminal",NREL,,37.9,37.9,2.3,0.2428,da,,,,,10.0,NREL,,Not measured at an external laboratory; Low-aerosol optical depth direct-beam AM1.5 spectrum
213,2005-05-01,5,2005,27,4,III-V Multijunction Cells,Concentrator,GaInP/GaInAs/Ge; 2-terminal; metamorphic,Spectrolab,,38.800000000000004,38.800000000000004,2.3,0.254,da,,,,,241.0,NREL,,Low-aerosol optical depth direct-beam AM1.5 spectrum
214,2005-05-01,5,2005,27,4,III-V Multijunction Cells,Concentrator,"GaInP/GaInAs/Ge, monolithic; 2-terminal",Spectrolab,,39,39.0,2.3,0.2691,da,,,,,236.0,NREL,,Low-aerosol optical depth direct-beam AM1.5 spectrum
215,2005-05-01,5,2005,26,1,Single-Junction GaAs,Thin-film crystal,GaAs - thin film - epitaxial liftoff,"Radboud U., Nijmegen, NL",24.5,,24.745,0.5,1.002,t,1.029,28.8,,0.825,1.0,FhG-ISE,,
216,2005-07-01,7,2005,28,3,Emerging PV,Organic cells,"Organic polymer (small), PCBM blend",Konarka,4.8,,4.8,0.2,0.142,ap,0.859,9.04,,0.621,1.0,NREL,,"Stability not investigated, Structure: glass/ITO/PEDOT:PSS/polymer:PCBM blend/ aluminium."
217,2005-08-01,8,2005,27,3,Crystalline Si Cells,Multicrystalline,Laser grooved,U. Konstanz,18.099999999999998,,18.281,0.5,137.7,t,0.636,36.9,,0.77,1.0,FhG-ISE,,
218,2005-08-01,8,2005,27,1,Emerging PV,Dye-sensitized cells,Nanocrystalline dye,Sharp,10.4,10.5,10.5,0.3,1.004,ap,0.729,21.8,22,0.652,1.0,AIST,0.9958834285714288,
219,2005-12-01,12,2005,,,Crystalline Si Cells,Silicon heterostructures (HIT),,Sanyo,22.0,,22.22,,,,,,,,1.0,,,
220,2006-02-01,2,2006,,,Thin-Film Technologies,CIGS,"ZnO/CdS/Cu(In,Ga)Se2 ",NREL,,19.7,19.7,,0.419,,0.69,,35.1,0.812,1.0,,0.9982653807106598,Small cell was not published in PIP
221,2006-02-01,2,2006,29,1,Thin-Film Technologies,CIGS,on glass,NREL,18.8,,18.988,0.5,0.998,ap,0.699,33.8,,0.794,1.0,NREL,,
222,2006-03-01,3,2006,28,3,Crystalline Si Cells,Single crystal (non-concentrator),FZ substrate,SunPower,21.8,22,22.0,0.7000000000000001,147.4,t,0.677,40.0,40.3,0.806,1.0,FhG-ISE,0.9995535727272729,
223,2006-03-01,3,2006,28,3,Emerging PV,Dye-sensitized cells,Dye sensitized,Sharp,11.1,11.200000000000001,11.2,0.3,0.219,ap,0.737,20.9,21,0.722,1.0,AIST,0.9977137499999998,
224,2006-03-01,3,2006,28,1,Emerging PV,Organic cells,"Organic polymer, fullerene derivative",Sharp,3.0,,3.0,0.1,1.001,ap,0.583,9.68,,0.524,1.0,AIST,,"PIP reported 0.538 for the voltage when it should have been 0.583 V) Stability not investigated, unstable under both oxygen and water vapour exposure, glass/TCO/buffer layer (PEDOT"
225,2006-04-01,4,2006,28,3,Crystalline Si Cells,Silicon heterostructures (HIT),HIT n-type CZ substrate,Sanyo,21.8,,22.018,0.5,100.4,t,0.718,38.4,,0.79,1.0,AIST,,
226,2006-04-01,4,2006,28,1,Crystalline Si Cells,Thin-film crystal,1-2 µm on glass; 20 cells,CSG Solar,9.4,,9.494,0.3,94.9,ap,0.493,26.0,,0.731,1.0,Sandia,,
227,2006-08-01,8,2006,49,4,Crystalline Si Cells,Single crystal (non-concentrator),Si n-type top/rear contacts,Fraunhofer ISE,,25.3,25.3,0.3,4.014,da,0.718,,42.5,0.828,1.0,FhG-ISE,0.9986727272727273,
228,2006-08-01,8,2006,29,1,Crystalline Si Cells,Thin-film crystal,1-2 µm on glass; 20 cells,CSG Solar,9.8,,9.898000000000001,0.3,96.3,ap,0.487,27.0,,0.745,1.0,Sandia,,
229,2006-08-01,8,2006,29,4,III-V Multijunction Cells,Concentrator,"GaInP/GaInAs/Ge, 2-terminal; lattice-mismatched",Spectrolab,39.300000000000004,39.4,39.4,2.3,0.378,da,,,,,179.0,NREL,,Low-aerosol optical depth direct-beam AM1.5 spectrum
230,2006-08-01,8,2006,30,1,Thin-Film Technologies,CIGS,on glass,NREL,18.8,,18.988,0.6,0.998,ap,0.703,34.0,,0.787,1.0,FhG-ISE,,
231,2006-09-01,9,2006,30,4,III-V Multijunction Cells,Concentrator,"GaInP/GaInAs/Ge, 2-terminal; lattice-mismatched",Spectrolab,,40.699999999999996,40.699999999999996,2.4,0.267,da,,,,,240.0,NREL,,Low-aerosol optical depth direct-beam AM1.5 spectrum
232,2006-12-01,12,2006,31,1,Emerging PV,Organic cells,Organic polymer,Konarka,5.1499999999999995,5.15,5.15,0.3,1.021,ap,0.876,9.4,9.39,0.625,1.0,NREL,0.998257281553398,Stability not investigated
233,2007-01-01,1,2007,30,3,III-V Multijunction Cells,Three-junction or more (non-concentrator),"GaInP/Ga(In)As/GaInAs, tandem, monolithic",NREL,33.800000000000004,,33.800000000000004,2.0,0.25,t,2.96,13.1,,0.868,1.0,NREL,,Not measured at external laboratory
234,2007-07-01,7,2007,31,3,Crystalline Si Cells,Silicon heterostructures (HIT),HIT n-type CZ substrate,Sanyo,22.3,22.5,22.5,0.6,100.5,t,0.725,39.1,39.2,0.791,1.0,AIST,0.9991208888888891,
235,2007-07-01,7,2007,31,3,Emerging PV,Organic cells,Organic,Plextronics,5.4,,5.4,0.3,0.096,ap,0.856,9.7,9.67,0.653,1.0,NREL,,
236,2007-08-01,8,2007,31,1,Crystalline Si Cells,Thin-film crystal,1-2 µm on glass; 20 cells,CSG Solar,10.4,10.5,10.5,0.3,94,ap,0.492,29.5,29.7,0.721,1.0,FhG-ISE,1.0033847999999999,
237,2007-09-01,9,2007,31,4,Crystalline Si Cells,Single crystal (concentrator),back contact,Amonix,27.3,27.6,27.6,1.0,1,da,,,,,93.0,FhG-ISE,,
238,2007-10-01,10,2007,31,3,Thin-Film Technologies,CIGS,on glass,NREL,19.900000000000002,20,20.0,0.6,0.419,ap,0.692,35.5,35.7,0.81,1.0,NREL,1.0005282000000002,
239,2007-10-16,10,2007,,,Thin-Film Technologies,CIGS,"ZnO/CdS/Cu(In,Ga)Se2",NREL,19.9,20,20.0,,0.419,,0.6918,35.5,35.74,0.8103,1.0,,1.00173061998,
240,2007-12-01,12,2007,,,Crystalline Si Cells,Thin-film crystal,Si thin film crystal,U. Stuttgart,16.900000000000002,,17.069000000000003,0.0,1.367,,0.641,33.5,,0.787,1.0,FhG-ISE,,
241,2007-12-01,12,2007,32,1,Single-Junction GaAs,Single crystal,GaAs Crystalline - on wafer,Radboud U. Nijmegen,25.900000000000002,26.1,26.1,0.8,0.998,ap,1.038,29.4,29.7,0.847,1.0,FhG-ISE,1.0004530344827587,
242,2008-01-01,1,2008,32,1,Thin-Film Technologies,CIGS,on glass,NREL,19.2,19.400000000000002,19.400000000000002,0.6,0.994,ap,0.716,33.3,33.7,0.803,1.0,NREL,0.9987498762886597,
243,2008-02-01,2,2008,34,3,Crystalline Si Cells,Silicon heterostructures (HIT),HIT n-type substrate,Sanyo,,23,23.0,0.6,100.4,t,0.729,,39.6,0.8,1.0,AIST,1.0041182608695653,
244,2008-02-01,2,2008,33,3,Crystalline Si Cells,Multicrystalline,Honeycomb multicrystalline,Mitsubishi Electric,,18.7,18.7,0.6,217.4,t,0.639,,37.7,0.776,1.0,AIST,0.9996830374331553,
245,2008-04-01,4,2008,32,4,III-V Multijunction Cells,Concentrator,"GaInP/GaAs/GaInAs, inverted monolithic",NREL,40.1,,40.1,2.4,0.0976,da,,,,,143.0,NREL,,"Not Confirmed: Eff=19.2 (Pip 32), EFF=18.8 (Pip 31) (mh)"
246,2008-07-01,7,2008,33,4,III-V Multijunction Cells,Concentrator,"GaInP/GaAs/GaInAs, 2-terminal, inverted monolithic",NREL,,40.8,40.8,2.4,0.0976,da,,,,,140.0,NREL,,Not measured at external laboratory
247,2008-07-01,7,2008,33,1,Single-Junction GaAs,Thin-film crystal,GaAs - thin film - epitaxial liftoff,Radboud U. Nijmegen,,26.1,26.1,0.8,1.001,ap,1.045,,29.5,0.846,1.0,FhG-ISE,0.9992362068965516,
248,2008-08-01,8,2008,,,Emerging PV,Organic tandem cells,Organic tandem,TU Dresden,3.7,,3.7,,0.0425,,1.395,5.37,,0.49,1.0,NREL,0.9920712162162161,
249,2008-08-01,8,2008,,,Emerging PV,Organic cells,Organic cells various types,Plextronics,,5.800000000000001,5.8,,0.044,,0.807,,9.76,0.737,1.0,NREL,1.0008358344827586,
250,2008-09-01,9,2008,36,4,III-V Multijunction Cells,Concentrator,"GaInP/GaAs, 2-terminal",U. Polytecnica de Madrid,,32.6,32.6,2.0,0.01,da,,,,,1026.0,FhG-ISE,,Measured under old ASTM E891-87 reference spectrum.
251,2008-12-01,12,2008,34,3,Emerging PV,Organic cells,Active layer polymer/fullerene blend,Konarka,,6.4,6.4,0.3,0.759,ap,0.585,,16.7,0.655,1.0,NREL,0.9998472656249998,"Stability not investigated, Light soaked under simulated AM 1.5 for about 140 hrs prior to shipment to NREL"
252,2009-01-01,1,2009,34,4,III-V Multijunction Cells,Concentrator,"GaInP/GaInAs/Ge, 2-terminal, metamorphic",Fraunhofer ISE,,41.099999999999994,41.099999999999994,2.5,0.0509,da,,,,,454.0,FhG-ISE,,Not measured at external laboratory
253,2009-01-01,1,2009,34,4,Single-Junction GaAs,Concentrator,,Fraunhofer ISE,,28.799999999999997,28.799999999999997,1.2,0.0504,da,,,,,232.0,FhG-ISE,,
254,2009-03-01,3,2009,34,3,Thin-Film Technologies,(not on chart),"a-Si:H/nc-Si:H/nc-Si:H, stabilized, tandem cell stack",United Solar,,12.5,12.5,0.7000000000000001,0.27,da,2.01,,9.11,0.684,1.0,NREL,1.0019833919999999,Combined with Ians notes
255,2009-03-01,3,2009,,,Thin-Film Technologies,Amorphous Si:H (stabilized),a-Si:H/nc-Si/nc-Si (stabilized),United Solar,,,12.4,,0.26,,2.0105,9.11,,0.684,,,,
256,2009-04-01,4,2009,,,Emerging PV,Organic tandem cells,Organic tandem,Heliatek; TU Dresden,,5.8999999999999995,5.9,,1.974,,1.608,,5.6,0.652,1.0,NREL,0.9951067118644068,
257,2009-04-01,4,2009,37,1,Thin-Film Technologies,CIGS,CIGS on glass,NREL,,19.6,19.6,0.6,0.996,ap,0.713,,34.8,0.792,1.0,NREL,1.0026235102040815,
258,2009-05-01,5,2009,,,Emerging PV,Organic cells,Organic cells various types,Solarmer,,6.800000000000001,6.8,,0.0473,,0.763,,13.36,0.664,1.0,NREL,0.9953828705882354,
259,2009-07-01,7,2009,35,3,Crystalline Si Cells,Multicrystalline,Honeycomb multicrystalline,Mitsubishi Electric,,19.1,19.1,0.5,217.6,t,0.65,,38.8,0.757,1.0,AIST,0.9995570680628271,
260,2009-07-01,7,2009,36,3,Crystalline Si Cells,Multicrystalline,Honeycomb multicrystalline,Mitsubishi Electric,,19.3,19.3,0.5,217.7,t,0.651,,38.8,0.764,1.0,AIST,0.9998820310880828,
261,2009-07-01,7,2009,35,1,Emerging PV,Organic tandem cells,OPV 2-cell tandem,Heliatek,,6.1,6.1,0.2,1.989,,1.589,,6.18,0.619,1.0,FhG-ISE,0.9964905540983607,
262,2009-07-01,7,2009,36,1,Thin-Film Technologies,Amorphous Si:H (stabilized),amorphous,"Oerliken Solar Lab, Neuchatel",,10.100000000000001,10.100000000000001,0.3,1.036,ap,0.886,,16.75,0.67,1.0,NREL,0.9844688118811882,
